"","Rk","Team","Date","Spread...4","Day","G#","Week","...8","Opp","Result","Spread...11","vs. Line","Over/Under","OU Result"
"1",1,"LAR",2022-09-08,2.5,"Thu",1,1,NA,"BUF","L 10-31",2.5,"did not cover",52,"under"
"2",2,"ATL",2022-09-11,5.5,"Sun",1,1,NA,"NOR","L 26-27",5.5,"covered",43.5,"over"
"3",3,"PIT",2022-09-11,7,"Sun",1,1,"@","CIN","W 23-20 (OT)",7,"covered",44,"under"
"4",4,"CHI",2022-09-11,6,"Sun",1,1,NA,"SFO","W 19-10",6,"covered",38,"under"
"5",5,"CLE",2022-09-11,1.5,"Sun",1,1,"@","CAR","W 26-24",1.5,"covered",42,"over"
"6",6,"ARI",2022-09-11,6.5,"Sun",1,1,NA,"KAN","L 21-44",6.5,"did not cover",54,"over"
"7",7,"DAL",2022-09-11,2,"Sun",1,1,NA,"TAM","L 3-19",2,"did not cover",50,"under"
"8",8,"LVR",2022-09-11,3.5,"Sun",1,1,"@","LAC","L 19-24",3.5,"did not cover",52.5,"under"
"9",9,"DET",2022-09-11,6,"Sun",1,1,NA,"PHI","L 35-38",6,"covered",48.5,"over"
"10",10,"GNB",2022-09-11,2.5,"Sun",1,1,"@","MIN","L 7-23",2.5,"did not cover",46,"under"
"11",11,"HOU",2022-09-11,7,"Sun",1,1,NA,"IND","T 20-20 (OT)",7,"covered",45.5,"under"
"12",12,"JAX",2022-09-11,3,"Sun",1,1,"@","WAS","L 22-28",3,"did not cover",43,"over"
"13",13,"NWE",2022-09-11,3,"Sun",1,1,"@","MIA","L 7-20",3,"did not cover",46,"under"
"14",14,"NYG",2022-09-11,5,"Sun",1,1,"@","TEN","W 21-20",5,"covered",44,"under"
"15",15,"NYJ",2022-09-11,6.5,"Sun",1,1,NA,"BAL","L 9-24",6.5,"did not cover",44,"under"
"16",16,"SEA",2022-09-12,6.5,"Mon",1,1,NA,"DEN","W 17-16",6.5,"covered",44.5,"under"
"17",17,"LAC",2022-09-15,4,"Thu",2,2,"@","KAN","L 24-27",4,"covered",54,"under"
"18",18,"ATL",2022-09-18,10,"Sun",2,2,"@","LAR","L 27-31",10,"covered",46.5,"over"
"19",19,"CAR",2022-09-18,2,"Sun",2,2,"@","NYG","L 16-19",2,"did not cover",43.5,"under"
"20",20,"CHI",2022-09-18,10,"Sun",2,2,"@","GNB","L 10-27",10,"did not cover",41.5,"under"
"21",21,"SEA",2022-09-18,9,"Sun",2,2,"@","SFO","L 7-27",9,"did not cover",40.5,"under"
"22",22,"ARI",2022-09-18,5.5,"Sun",2,2,"@","LVR","W 29-23 (OT)",5.5,"covered",51.5,"over"
"23",23,"DAL",2022-09-18,7,"Sun",2,2,NA,"CIN","W 20-17",7,"covered",42,"under"
"24",24,"HOU",2022-09-18,10,"Sun",2,2,"@","DEN","L 9-16",10,"covered",45.5,"under"
"25",25,"WAS",2022-09-18,1.5,"Sun",2,2,"@","DET","L 27-36",1.5,"did not cover",48.5,"over"
"26",26,"PIT",2022-09-18,2.5,"Sun",2,2,NA,"NWE","L 14-17",2.5,"did not cover",40.5,"under"
"27",27,"JAX",2022-09-18,3,"Sun",2,2,NA,"IND","W 24-0",3,"covered",45,"under"
"28",28,"MIA",2022-09-18,3.5,"Sun",2,2,"@","BAL","W 42-38",3.5,"covered",44.5,"over"
"29",29,"NOR",2022-09-18,2.5,"Sun",2,2,NA,"TAM","L 10-20",2.5,"did not cover",44,"under"
"30",30,"NYJ",2022-09-18,6.5,"Sun",2,2,"@","CLE","W 31-30",6.5,"covered",39.5,"over"
"31",31,"MIN",2022-09-19,2.5,"Mon",2,2,"@","PHI","L 7-24",2.5,"did not cover",50.5,"under"
"32",32,"TEN",2022-09-19,10,"Mon",2,2,"@","BUF","L 7-41",10,"did not cover",47.5,"over"
