"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"1",1,"BUF",2022-09-08,41,"Thu",1,1,"@","LAR","W 31-10",29,41,70.7,191,1,7,49,3,58.1
"2",2,"LAR",2022-09-08,31,"Thu",1,1,NA,"BUF","L 10-31",26,31,83.9,292,3,2,5,2,111.3
"3",3,"ATL",2022-09-11,34,"Sun",1,1,NA,"NOR","L 26-27",23,34,67.6,234,2,4,35,0,106.7
"4",4,"TEN",2022-09-11,21,"Sun",1,1,NA,"NYG","L 20-21",17,21,81,156,2,5,32,1,109.5
"5",5,"NYJ",2022-09-11,30,"Sun",1,1,NA,"BAL","L 9-24",17,30,56.7,211,3,2,2,1,98.1
"6",6,"MIA",2022-09-11,30,"Sun",1,1,NA,"NWE","W 20-7",21,30,70,193,1,2,20,1,84.4
"7",7,"CAR",2022-09-11,34,"Sun",1,1,NA,"CLE","L 24-26",18,34,52.9,138,1,1,9,0,72.9
"8",8,"TAM",2022-09-11,42,"Sun",1,1,"@","DAL","W 19-3",21,42,50,173,0,4,25,1,51
"9",9,"CHI",2022-09-11,28,"Sun",1,1,NA,"SFO","W 19-10",13,28,46.4,155,0,2,9,1,49
"10",10,"CIN",2022-09-11,38,"Sun",1,1,NA,"PIT","L 20-23 (OT)",21,38,55.3,192,1,1,2,0,78
"11",11,"KAN",2022-09-11,38,"Sun",1,1,"@","ARI","W 44-21",24,38,63.2,179,2,3,26,0,91.9
"12",12,"NWE",2022-09-11,33,"Sun",1,1,"@","MIA","L 7-20",23,33,69.7,242,1,3,28,0,100.8
"13",13,"CLE",2022-09-11,27,"Sun",1,1,"@","CAR","W 26-24",16,27,59.3,207,1,4,28,1,80.3
"14",14,"PIT",2022-09-11,53,"Sun",1,1,"@","CIN","W 23-20 (OT)",33,53,62.3,299,2,7,39,4,58.6
"15",15,"IND",2022-09-11,37,"Sun",1,1,"@","HOU","T 20-20 (OT)",23,37,62.2,222,2,3,18,0,96.9
"16",16,"ARI",2022-09-11,39,"Sun",1,1,NA,"KAN","L 21-44",30,39,76.9,360,5,0,0,0,144.2
"17",17,"SFO",2022-09-11,17,"Sun",1,1,"@","CHI","L 10-19",8,17,47.1,105,2,2,16,1,81.7
"18",18,"WAS",2022-09-11,42,"Sun",1,1,NA,"JAX","W 28-22",24,42,57.1,260,1,2,15,1,73.5
