"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Att...11","Yds","Y/A","TD"
"1",201,"CIN",2022-10-23,29,"Sun",7,7,NA,"ATL","W 35-17",29,107,3.7,1
"2",202,"GNB",2022-10-23,38,"Sun",7,7,"@","WAS","L 21-23",38,166,4.4,0
"3",203,"SEA",2022-10-23,15,"Sun",7,7,"@","LAC","W 37-23",15,53,3.5,1
"4",204,"BAL",2022-10-23,24,"Sun",7,7,NA,"CLE","W 23-20",24,113,4.7,2
"5",205,"ATL",2022-10-23,21,"Sun",7,7,"@","CIN","L 17-35",21,78,3.7,2
"6",206,"LVR",2022-10-23,23,"Sun",6,7,NA,"HOU","W 38-20",23,108,4.7,0
"7",207,"LAC",2022-10-23,34,"Sun",7,7,NA,"SEA","L 23-37",34,213,6.3,2
"8",208,"PIT",2022-10-23,27,"Sun",7,7,"@","MIA","L 10-16",27,111,4.1,0
"9",209,"NYJ",2022-10-23,28,"Sun",7,7,"@","DEN","W 16-9",28,105,3.8,1
"10",210,"IND",2022-10-23,35,"Sun",7,7,"@","TEN","L 10-19",35,138,3.9,0
"11",211,"WAS",2022-10-23,12,"Sun",7,7,NA,"GNB","W 23-21",12,38,3.2,0
"12",212,"NYG",2022-10-23,21,"Sun",7,7,"@","JAX","W 23-17",21,142,6.8,2
"13",213,"JAX",2022-10-23,39,"Sun",7,7,NA,"NYG","L 17-23",39,236,6.1,1
"14",214,"KAN",2022-10-23,21,"Sun",7,7,"@","SFO","W 44-23",21,101,4.8,0
"15",215,"NWE",2022-10-24,45,"Mon",7,7,NA,"CHI","L 14-33",45,243,5.4,2
"16",216,"CHI",2022-10-24,19,"Mon",7,7,"@","NWE","W 33-14",19,70,3.7,1
"17",217,"TAM",2022-10-27,33,"Thu",8,8,NA,"BAL","L 22-27",33,231,7,1
"18",218,"BAL",2022-10-27,15,"Thu",8,8,"@","TAM","W 27-22",15,44,2.9,1
"19",219,"MIA",2022-10-30,19,"Sun",8,8,"@","DET","W 31-27",19,82,4.3,2
"20",220,"DAL",2022-10-30,43,"Sun",8,8,NA,"CHI","W 49-29",43,240,5.6,2
"21",221,"TEN",2022-10-30,18,"Sun",7,8,"@","HOU","W 17-10",18,43,2.4,0
"22",222,"ARI",2022-10-30,29,"Sun",8,8,"@","MIN","L 26-34",29,173,6,3
"23",223,"SFO",2022-10-30,21,"Sun",8,8,"@","LAR","W 31-14",21,56,2.7,1
"24",224,"HOU",2022-10-30,45,"Sun",7,8,NA,"TEN","L 10-17",45,314,7,2
"25",225,"CAR",2022-10-30,37,"Sun",8,8,"@","ATL","L 34-37 (OT)",37,167,4.5,0
"26",226,"DEN",2022-10-30,32,"Sun",8,8,"@","JAX","W 21-17",32,191,6,1
"27",227,"BUF",2022-10-30,31,"Sun",7,8,NA,"GNB","W 27-17",31,208,6.7,0
"28",228,"DET",2022-10-30,26,"Sun",7,8,NA,"MIA","L 27-31",26,107,4.1,1
"29",229,"LAR",2022-10-30,23,"Sun",7,8,NA,"SFO","L 14-31",23,111,4.8,1
"30",230,"GNB",2022-10-30,27,"Sun",8,8,"@","BUF","L 17-27",27,153,5.7,1
"31",231,"SEA",2022-10-30,28,"Sun",8,8,NA,"NYG","W 27-13",28,78,2.8,1
"32",232,"ATL",2022-10-30,36,"Sun",8,8,NA,"CAR","W 37-34 (OT)",36,169,4.7,3
"33",233,"MIN",2022-10-30,22,"Sun",7,8,NA,"ARI","W 34-26",22,78,3.5,0
"34",234,"NOR",2022-10-30,13,"Sun",8,8,NA,"LVR","W 24-0",13,38,2.9,0
"35",235,"LVR",2022-10-30,32,"Sun",7,8,"@","NOR","L 0-24",32,136,4.3,1
"36",236,"NWE",2022-10-30,15,"Sun",8,8,"@","NYJ","W 22-17",15,51,3.4,0
"37",237,"PIT",2022-10-30,20,"Sun",8,8,"@","PHI","L 13-35",20,111,5.6,1
"38",238,"PHI",2022-10-30,24,"Sun",7,8,NA,"PIT","W 35-13",24,144,6,0
"39",239,"CHI",2022-10-30,29,"Sun",8,8,"@","DAL","L 29-49",29,200,6.9,4
"40",240,"NYJ",2022-10-30,34,"Sun",8,8,NA,"NWE","L 17-22",34,127,3.7,0
"41",241,"IND",2022-10-30,28,"Sun",8,8,NA,"WAS","L 16-17",28,96,3.4,1
"42",242,"WAS",2022-10-30,29,"Sun",8,8,"@","IND","W 17-16",29,135,4.7,1
"43",243,"NYG",2022-10-30,25,"Sun",8,8,"@","SEA","L 13-27",25,87,3.5,1
"44",244,"JAX",2022-10-30,28,"Sun",8,8,NA,"DEN","L 17-21",28,101,3.6,2
"45",245,"CLE",2022-10-31,10,"Mon",8,8,NA,"CIN","W 32-13",10,36,3.6,0
"46",246,"CIN",2022-10-31,44,"Mon",8,8,"@","CLE","L 13-32",44,172,3.9,3
"47",247,"HOU",2022-11-03,31,"Thu",8,9,NA,"PHI","L 17-29",31,143,4.6,2
"48",248,"PHI",2022-11-03,32,"Thu",8,9,"@","HOU","W 29-17",32,168,5.3,0
"49",249,"MIA",2022-11-06,40,"Sun",9,9,"@","CHI","W 35-32",40,252,6.3,1
"50",250,"TEN",2022-11-06,19,"Sun",8,9,"@","KAN","L 17-20 (OT)",19,77,4.1,1
"51",251,"ARI",2022-11-06,34,"Sun",9,9,NA,"SEA","L 21-31",34,158,4.6,2
"52",252,"CAR",2022-11-06,39,"Sun",9,9,"@","CIN","L 21-42",39,241,6.2,5
"53",253,"TAM",2022-11-06,24,"Sun",9,9,NA,"LAR","W 16-13",24,68,2.8,0
"54",254,"BUF",2022-11-06,34,"Sun",8,9,"@","NYJ","L 17-20",34,174,5.1,1
"55",255,"DET",2022-11-06,25,"Sun",8,9,NA,"GNB","W 15-9",25,106,4.2,0
"56",256,"LAR",2022-11-06,20,"Sun",8,9,"@","TAM","L 13-16",20,51,2.6,0
"57",257,"CIN",2022-11-06,18,"Sun",9,9,NA,"CAR","W 42-21",18,64,3.6,1
"58",258,"GNB",2022-11-06,31,"Sun",9,9,"@","DET","L 9-15",31,117,3.8,0
"59",259,"SEA",2022-11-06,21,"Sun",9,9,"@","ARI","W 31-21",21,122,5.8,0
"60",260,"ATL",2022-11-06,24,"Sun",9,9,NA,"LAC","L 17-20",24,91,3.8,1
"61",261,"MIN",2022-11-06,30,"Sun",8,9,"@","WAS","W 20-17",30,137,4.6,0
"62",262,"LVR",2022-11-06,37,"Sun",8,9,"@","JAX","L 20-27",37,168,4.5,2
"63",263,"LAC",2022-11-06,35,"Sun",8,9,"@","ATL","W 20-17",35,201,5.7,2
"64",264,"NWE",2022-11-06,22,"Sun",9,9,NA,"IND","W 26-3",22,78,3.5,0
"65",265,"CHI",2022-11-06,23,"Sun",9,9,NA,"MIA","L 32-35",23,77,3.3,1
"66",266,"NYJ",2022-11-06,22,"Sun",9,9,NA,"BUF","W 20-17",22,134,6.1,2
"67",267,"IND",2022-11-06,28,"Sun",9,9,"@","NWE","L 3-26",28,70,2.5,0
"68",268,"WAS",2022-11-06,22,"Sun",9,9,NA,"MIN","L 17-20",22,56,2.5,0
"69",269,"JAX",2022-11-06,19,"Sun",9,9,NA,"LVR","W 27-20",19,73,3.8,0
"70",270,"KAN",2022-11-06,29,"Sun",8,9,NA,"TEN","W 20-17 (OT)",29,172,5.9,2
"71",271,"BAL",2022-11-07,15,"Mon",9,9,"@","NOR","W 27-13",15,48,3.2,0
"72",272,"NOR",2022-11-07,40,"Mon",9,9,NA,"BAL","L 13-27",40,188,4.7,2
"73",273,"CAR",2022-11-10,25,"Thu",10,10,NA,"ATL","W 25-15",25,138,5.5,0
"74",274,"ATL",2022-11-10,47,"Thu",10,10,"@","CAR","L 15-25",47,232,4.9,2
"75",275,"MIA",2022-11-13,24,"Sun",10,10,NA,"CLE","W 39-17",24,112,4.7,1
"76",276,"DAL",2022-11-13,39,"Sun",9,10,"@","GNB","L 28-31 (OT)",39,207,5.3,1
"77",277,"TEN",2022-11-13,25,"Sun",9,10,NA,"DEN","W 17-10",25,65,2.6,0
"78",278,"ARI",2022-11-13,20,"Sun",10,10,"@","LAR","W 27-17",20,66,3.3,1
"79",279,"SFO",2022-11-13,16,"Sun",9,10,NA,"LAC","W 22-16",16,51,3.2,0
"80",280,"HOU",2022-11-13,47,"Sun",9,10,"@","NYG","L 16-24",47,191,4.1,1
"81",281,"DEN",2022-11-13,23,"Sun",9,10,"@","TEN","L 10-17",23,63,2.7,0
"82",282,"CLE",2022-11-13,33,"Sun",9,10,"@","MIA","L 17-39",33,195,5.9,2
"83",283,"TAM",2022-11-13,14,"Sun",10,10,NA,"SEA","W 21-16",14,39,2.8,0
"84",284,"BUF",2022-11-13,25,"Sun",9,10,NA,"MIN","L 30-33 (OT)",25,147,5.9,2
"85",285,"DET",2022-11-13,35,"Sun",9,10,"@","CHI","W 31-30",35,258,7.4,2
"86",286,"LAR",2022-11-13,26,"Sun",9,10,NA,"ARI","L 17-27",26,78,3,2
"87",287,"GNB",2022-11-13,31,"Sun",10,10,NA,"DAL","W 31-28 (OT)",31,159,5.1,1
"88",288,"SEA",2022-11-13,44,"Sun",10,10,"@","TAM","L 16-21",44,161,3.7,1
"89",289,"MIN",2022-11-13,27,"Sun",9,10,"@","BUF","W 33-30 (OT)",27,175,6.5,2
"90",290,"NOR",2022-11-13,43,"Sun",10,10,"@","PIT","L 10-20",43,217,5,2
"91",291,"LVR",2022-11-13,30,"Sun",9,10,NA,"IND","L 20-25",30,207,6.9,2
"92",292,"LAC",2022-11-13,41,"Sun",9,10,"@","SFO","L 16-22",41,157,3.8,2
"93",293,"PIT",2022-11-13,15,"Sun",9,10,NA,"NOR","W 20-10",15,29,1.9,0
"94",294,"CHI",2022-11-13,31,"Sun",10,10,NA,"DET","L 30-31",31,95,3.1,2
"95",295,"IND",2022-11-13,24,"Sun",10,10,"@","LVR","W 25-20",24,77,3.2,1
"96",296,"NYG",2022-11-13,19,"Sun",9,10,NA,"HOU","W 24-16",19,101,5.3,0
"97",297,"JAX",2022-11-13,27,"Sun",10,10,"@","KAN","L 17-27",27,155,5.7,0
"98",298,"KAN",2022-11-13,16,"Sun",9,10,NA,"JAX","W 27-17",16,75,4.7,0
"99",299,"PHI",2022-11-14,49,"Mon",9,10,NA,"WAS","L 21-32",49,152,3.1,2
"100",300,"WAS",2022-11-14,20,"Mon",10,10,"@","PHI","W 32-21",20,94,4.7,1
"101",301,"TEN",2022-11-17,19,"Thu",10,11,"@","GNB","W 27-17",19,56,2.9,0
"102",302,"GNB",2022-11-17,32,"Thu",11,11,NA,"TEN","L 17-27",32,88,2.8,1
"103",303,"DAL",2022-11-20,17,"Sun",10,11,"@","MIN","W 40-3",17,73,4.3,0
"104",304,"HOU",2022-11-20,40,"Sun",10,11,NA,"WAS","L 10-23",40,153,3.8,1
"105",305,"CAR",2022-11-20,30,"Sun",11,11,"@","BAL","L 3-13",30,115,3.8,1
"106",306,"DEN",2022-11-20,24,"Sun",10,11,NA,"LVR","L 16-22 (OT)",24,109,4.5,0
"107",307,"CLE",2022-11-20,33,"Sun",10,11,"@","BUF","L 23-31",33,171,5.2,1
"108",308,"BUF",2022-11-20,26,"Sun",10,11,NA,"CLE","W 31-23",26,80,3.1,0
"109",309,"DET",2022-11-20,26,"Sun",10,11,"@","NYG","W 31-18",26,89,3.4,2
"110",310,"LAR",2022-11-20,24,"Sun",10,11,"@","NOR","L 20-27",24,88,3.7,0
"111",311,"CIN",2022-11-20,24,"Sun",10,11,"@","PIT","W 37-30",24,102,4.3,2
"112",312,"BAL",2022-11-20,17,"Sun",10,11,NA,"CAR","W 13-3",17,36,2.1,0
"113",313,"ATL",2022-11-20,41,"Sun",11,11,NA,"CHI","W 27-24",41,160,3.9,2
"114",314,"MIN",2022-11-20,40,"Sun",10,11,NA,"DAL","L 3-40",40,151,3.8,2
"115",315,"NOR",2022-11-20,30,"Sun",11,11,NA,"LAR","W 27-20",30,148,4.9,0
"116",316,"LVR",2022-11-20,28,"Sun",10,11,"@","DEN","W 22-16 (OT)",28,94,3.4,1
"117",317,"LAC",2022-11-20,27,"Sun",10,11,NA,"KAN","L 27-30",27,163,6,0
"118",318,"NWE",2022-11-20,23,"Sun",10,11,NA,"NYJ","W 10-3",23,59,2.6,0
"119",319,"PIT",2022-11-20,24,"Sun",10,11,NA,"CIN","L 30-37",24,62,2.6,0
"120",320,"PHI",2022-11-20,26,"Sun",10,11,"@","IND","W 17-16",26,99,3.8,1
"121",321,"CHI",2022-11-20,33,"Sun",11,11,"@","ATL","L 24-27",33,149,4.5,1
"122",322,"NYJ",2022-11-20,26,"Sun",10,11,"@","NWE","L 3-10",26,99,3.8,0
"123",323,"IND",2022-11-20,33,"Sun",11,11,NA,"PHI","L 16-17",33,141,4.3,1
"124",324,"WAS",2022-11-20,16,"Sun",11,11,"@","HOU","W 23-10",16,21,1.3,1
"125",325,"NYG",2022-11-20,37,"Sun",10,11,NA,"DET","L 18-31",37,160,4.3,4
"126",326,"KAN",2022-11-20,30,"Sun",10,11,"@","LAC","W 30-27",30,115,3.8,1
"127",327,"ARI",2022-11-21,28,"Mon",11,11,NA,"SFO","L 10-38",28,159,5.7,1
"128",328,"SFO",2022-11-21,24,"Mon",10,11,"@","ARI","W 38-10",24,67,2.8,1
"129",329,"DAL",2022-11-24,21,"Thu",11,12,NA,"NYG","W 28-20",21,90,4.3,1
"130",330,"BUF",2022-11-24,28,"Thu",11,12,"@","DET","W 28-25",28,96,3.4,1
"131",331,"DET",2022-11-24,29,"Thu",11,12,NA,"BUF","L 25-28",29,164,5.7,1
