"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Inc","Cmp%","Yds...15","TD","Int","TD%","Int%","Rate","Sk","Yds...22","Sk%","Y/A","NY/A","AY/A","ANY/A","Y/C"
"1",1,"LAR",2022-09-08,41,"Thu",1,1,NA,"BUF","L 10-31",29,41,12,70.7,191,1,3,2.4,7.3,63.1,7,49,14.58,4.7,3.98,1.85,1.58,6.6
"2",2,"BUF",2022-09-08,31,"Thu",1,1,"@","LAR","W 31-10",26,31,5,83.9,292,3,2,9.7,6.5,112,2,5,6.06,9.4,8.85,8.45,7.94,11.2
"3",3,"MIA",2022-09-11,33,"Sun",1,1,NA,"NWE","W 20-7",23,33,10,69.7,242,1,0,3,0,104.4,3,28,8.33,7.3,6.72,7.94,7.28,10.5
"4",4,"KAN",2022-09-11,39,"Sun",1,1,"@","ARI","W 44-21",30,39,9,76.9,360,5,0,12.8,0,144.2,0,0,0,9.2,9.23,11.79,11.79,12
"5",5,"TEN",2022-09-11,33,"Sun",1,1,NA,"NYG","L 20-21",20,33,13,60.6,266,2,0,6.1,0,106.4,1,0,2.94,8.1,7.82,9.27,9,13.3
"6",6,"ATL",2022-09-11,33,"Sun",1,1,NA,"NOR","L 26-27",20,33,13,60.6,215,0,0,0,0,79.7,0,0,0,6.5,6.52,6.52,6.52,10.8
"7",7,"DAL",2022-09-11,42,"Sun",1,1,NA,"TAM","L 3-19",21,42,21,50,173,0,1,0,2.4,53.5,4,25,8.7,4.1,3.76,3.05,2.78,8.2
"8",8,"ARI",2022-09-11,38,"Sun",1,1,NA,"KAN","L 21-44",24,38,14,63.2,179,2,0,5.3,0,94.7,3,26,7.32,4.7,4.37,5.76,5.34,7.5
"9",9,"LAC",2022-09-11,34,"Sun",1,1,NA,"LVR","W 24-19",26,34,8,76.5,279,3,0,8.8,0,129.4,0,0,0,8.2,8.21,9.97,9.97,10.7
"10",10,"SFO",2022-09-11,28,"Sun",1,1,"@","CHI","L 10-19",13,28,15,46.4,155,0,1,0,3.6,50.3,2,9,6.67,5.5,5.17,3.93,3.67,11.9
