"","Rk","Team","Date","Temperature","Day","G#","Week","...8","Opp","Result"
"1",401,"SEA",2022-12-15,39,"Thu",14,15,NA,"SFO","L 13-21"
"2",402,"SFO",2022-12-15,39,"Thu",14,15,"@","SEA","W 21-13"
"3",403,"BUF",2022-12-17,29,"Sat",14,15,NA,"MIA","W 32-29"
"4",404,"CLE",2022-12-17,34,"Sat",14,15,NA,"BAL","W 13-3"
"5",405,"IND",2022-12-17,19,"Sat",14,15,"@","MIN","L 36-39 (OT)"
"6",406,"MIA",2022-12-17,29,"Sat",14,15,"@","BUF","L 29-32"
"7",407,"MIN",2022-12-17,19,"Sat",14,15,NA,"IND","W 39-36 (OT)"
"8",408,"BAL",2022-12-17,34,"Sat",14,15,"@","CLE","L 3-13"
"9",409,"ATL",2022-12-18,49,"Sun",14,15,"@","NOR","L 18-21"
"10",410,"CAR",2022-12-18,47,"Sun",14,15,NA,"PIT","L 16-24"
"11",411,"CHI",2022-12-18,17,"Sun",14,15,NA,"PHI","L 20-25"
"12",412,"CIN",2022-12-18,66,"Sun",14,15,"@","TAM","W 34-23"
"13",413,"ARI",2022-12-18,37,"Sun",14,15,"@","DEN","L 15-24"
"14",414,"DAL",2022-12-18,54,"Sun",14,15,"@","JAX","L 34-40 (OT)"
"15",415,"DEN",2022-12-18,37,"Sun",14,15,NA,"ARI","W 24-15"
"16",416,"DET",2022-12-18,38,"Sun",14,15,"@","NYJ","W 20-17"
"17",417,"HOU",2022-12-18,50,"Sun",14,15,NA,"KAN","L 24-30 (OT)"
"18",418,"JAX",2022-12-18,54,"Sun",14,15,NA,"DAL","W 40-34 (OT)"
"19",419,"KAN",2022-12-18,50,"Sun",14,15,"@","HOU","W 30-24 (OT)"
"20",420,"NOR",2022-12-18,49,"Sun",14,15,NA,"ATL","W 21-18"
"21",421,"NWE",2022-12-18,53,"Sun",14,15,"@","LVR","L 24-30"
"22",422,"NYG",2022-12-18,35,"Sun",14,15,"@","WAS","W 20-12"
"23",423,"NYJ",2022-12-18,38,"Sun",14,15,NA,"DET","L 17-20"
"24",424,"TEN",2022-12-18,66,"Sun",14,15,"@","LAC","L 14-17"
"25",425,"PHI",2022-12-18,17,"Sun",14,15,"@","CHI","W 25-20"
"26",426,"PIT",2022-12-18,47,"Sun",14,15,"@","CAR","W 24-16"
"27",427,"LVR",2022-12-18,53,"Sun",14,15,NA,"NWE","W 30-24"
"28",428,"LAC",2022-12-18,66,"Sun",14,15,NA,"TEN","W 17-14"
"29",429,"TAM",2022-12-18,66,"Sun",14,15,NA,"CIN","L 23-34"
"30",430,"WAS",2022-12-18,35,"Sun",14,15,NA,"NYG","L 12-20"
"31",431,"GNB",2022-12-19,15,"Mon",14,15,NA,"LAR","W 24-12"
"32",432,"LAR",2022-12-19,15,"Mon",14,15,"@","GNB","L 12-24"
"33",433,"JAX",2022-12-22,43,"Thu",15,16,"@","NYJ","W 19-3"
"34",434,"NYJ",2022-12-22,43,"Thu",15,16,NA,"JAX","L 3-19"
"35",435,"ATL",2022-12-24,17,"Sat",15,16,"@","BAL","L 9-17"
"36",436,"BUF",2022-12-24,7,"Sat",15,16,"@","CHI","W 35-13"
"37",437,"CAR",2022-12-24,20,"Sat",15,16,NA,"DET","W 37-23"
"38",438,"CHI",2022-12-24,7,"Sat",15,16,NA,"BUF","L 13-35"
"39",439,"CIN",2022-12-24,21,"Sat",15,16,"@","NWE","W 22-18"
"40",440,"CLE",2022-12-24,6,"Sat",15,16,NA,"NOR","L 10-17"
"41",441,"DAL",2022-12-24,35,"Sat",15,16,NA,"PHI","W 40-34"
"42",442,"DET",2022-12-24,20,"Sat",15,16,"@","CAR","L 23-37"
"43",443,"HOU",2022-12-24,22,"Sat",15,16,"@","TEN","W 19-14"
"44",444,"KAN",2022-12-24,12,"Sat",15,16,NA,"SEA","W 24-10"
"45",445,"MIN",2022-12-24,2,"Sat",15,16,NA,"NYG","W 27-24"
"46",446,"NOR",2022-12-24,6,"Sat",15,16,"@","CLE","W 17-10"
"47",447,"NWE",2022-12-24,21,"Sat",15,16,NA,"CIN","L 18-22"
"48",448,"NYG",2022-12-24,2,"Sat",15,16,"@","MIN","L 24-27"
"49",449,"TEN",2022-12-24,22,"Sat",15,16,NA,"HOU","L 14-19"
"50",450,"PHI",2022-12-24,35,"Sat",15,16,"@","DAL","L 34-40"
"51",451,"PIT",2022-12-24,9,"Sat",15,16,NA,"LVR","W 13-10"
"52",452,"LVR",2022-12-24,9,"Sat",15,16,"@","PIT","L 10-13"
"53",453,"BAL",2022-12-24,17,"Sat",15,16,NA,"ATL","W 17-9"
"54",454,"SEA",2022-12-24,12,"Sat",15,16,"@","KAN","L 10-24"
"55",455,"SFO",2022-12-24,54,"Sat",15,16,NA,"WAS","W 37-20"
"56",456,"WAS",2022-12-24,54,"Sat",15,16,"@","SFO","L 20-37"
"57",457,"ARI",2022-12-25,66,"Sun",15,16,NA,"TAM","L 16-19 (OT)"
"58",458,"DEN",2022-12-25,83,"Sun",15,16,"@","LAR","L 14-51"
"59",459,"GNB",2022-12-25,45,"Sun",15,16,"@","MIA","W 26-20"
"60",460,"MIA",2022-12-25,45,"Sun",15,16,NA,"GNB","L 20-26"
"61",461,"LAR",2022-12-25,83,"Sun",15,16,NA,"DEN","W 51-14"
"62",462,"TAM",2022-12-25,66,"Sun",15,16,"@","ARI","W 19-16 (OT)"
"63",463,"IND",2022-12-26,22,"Mon",15,16,NA,"LAC","L 3-20"
"64",464,"LAC",2022-12-26,22,"Mon",15,16,"@","IND","W 20-3"
"65",465,"DAL",2022-12-29,56,"Thu",16,17,"@","TEN","W 27-13"
"66",466,"TEN",2022-12-29,56,"Thu",16,17,NA,"DAL","L 13-27"
"67",467,"ATL",2023-01-01,66,"Sun",16,17,NA,"ARI","W 20-19"
"68",468,"CAR",2023-01-01,75,"Sun",16,17,"@","TAM","L 24-30"
"69",469,"CHI",2023-01-01,38,"Sun",16,17,"@","DET","L 10-41"
"70",470,"CLE",2023-01-01,59,"Sun",16,17,"@","WAS","W 24-10"
"71",471,"IND",2023-01-01,52,"Sun",16,17,"@","NYG","L 10-38"
"72",472,"ARI",2023-01-01,66,"Sun",16,17,"@","ATL","L 19-20"
"73",473,"DEN",2023-01-01,47,"Sun",16,17,"@","KAN","L 24-27"
"74",474,"DET",2023-01-01,38,"Sun",16,17,NA,"CHI","W 41-10"
"75",475,"GNB",2023-01-01,39,"Sun",16,17,NA,"MIN","W 41-17"
"76",476,"HOU",2023-01-01,70,"Sun",16,17,NA,"JAX","L 3-31"
"77",477,"JAX",2023-01-01,70,"Sun",16,17,"@","HOU","W 31-3"
"78",478,"KAN",2023-01-01,47,"Sun",16,17,NA,"DEN","W 27-24"
